,hcr,avg,coop,ratio,round,ratio__good,ratio__bad,ratio__random,ratio__tit4tat,ratio__tit4tat2,ratio__rev_tit4tat,ratio__rev_tit4tat2,ratio__win_stay_lose_shift,ratio__q_table,ratio__defect
0,48,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,96,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,143,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,191,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,239,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,287,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,335,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,383,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,431,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,479,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'defect'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
